2017年取自第三季度数据
万华化学
年份                 2012             2013              2014              2015              2016              当前
股价                15.61             20.7             21.78             17.85             21.53             37.94
股本     2,162,334,720.00 2,162,334,720.00  2,162,334,720.00  2,162,334,720.00  2,162,334,720.00  2,734,012,800.00
净资产   8,304,389,812.30 9,677,924,314.51 10,594,084,392.97 11,570,972,856.73 14,821,586,070.82 23,962,657,176.70
净利润   2,348,879,482.70 2,891,412,294.74  2,419,366,386.55  1,609,743,609.59  3,679,421,831.90  7,810,995,979.02
PE            14.37027537      15.48043798       19.46610917       23.97752942       12.65282119        13.2797976
PB            4.064602667      4.624992638       4.445466777       3.335732892       3.141031351       4.328753897
ROE           28.28479317      29.87636812       22.83695595       13.91191242       24.82475097       32.59653519

安琪酵母
年份                    2011             2012             2013             2014             2015             2016             2017
股价                   29.41            16.33            17.27            18.46            30.42            17.82            34.69
股本          329,632,377.00   329,632,377.00   329,632,377.00   329,632,377.00   329,632,377.00   824,080,943.00   824,080,943.00
净资产      2,484,854,598.79 2,675,282,511.48 2,735,902,607.17 2,822,357,258.58 3,038,986,735.88 3,253,369,621.91 3,598,729,825.74
净利润        298,420,396.94   243,186,082.91   146,439,844.95   147,191,223.94   280,094,645.09   535,091,974.97   611,534,298.35
每股盈利          0.90531276      0.737749383      0.444252007      0.446531452      0.849718246      0.649319681      0.742080379
每股净资产       7.538260111      8.115957952      8.299860081      8.562136051      9.219321122      3.947876297      4.366961591
PE                32.4860107      22.13488803        38.874332      41.34087289      35.80010216      27.44410885      46.74695759
PB               3.901430777      2.012085338      2.080757968       2.15600405      3.299592193      4.513819243       7.94373829
ROE              12.00957179      9.090108498      5.352524047      5.215187535      9.216711668      16.44731577      16.99305944

伟星股份
年份                     2011              2012              2013              2014              2015              2016              2017
股价                    12.35              9.62             10.27              9.85             17.72             14.33             11.28
股本           258,988,006.00    258,988,006.00    258,988,006.00    339,804,407.00    407,765,288.00    448,532,798.00    583,092,637.00
净资产       1,663,218,553.66  1,649,344,422.83  1,732,650,108.48  1,787,069,700.85  1,844,261,758.95  2,210,612,024.95  2,307,375,980.45
净利润         196,170,274.63    169,028,945.03    209,268,558.69    236,003,955.50    247,581,770.05    295,475,427.83    279,516,170.86
每股盈利          0.757449264       0.652651633       0.808024132       0.694528825       0.607167352       0.658759915       0.479368377
每股净资产        6.421990653       6.368420099       6.690078569       5.259112784        4.52285129       4.928540421       3.957134483
PE                16.30472242       14.73986966       12.71001644       14.18227674       29.18470492       21.75299328       23.53096397
PB                1.923079722       1.510578739       1.535109027       1.872939487       3.917882518       2.907554525       2.850547549
ROE               11.79461798       10.24825032       12.07794682       13.20619758       13.42443766       13.36622729       12.11402794

长安汽车
年份                     2011              2012              2013              2014              2015              2016              2017
股价                     3.78              6.65             11.45             16.43             16.97             14.84              12.5
股本         4,834,482,546.00  4,662,886,108.00  4,662,886,108.00  4,662,886,108.00  4,662,886,108.00  4,802,648,511.00  4,802,648,511.00
净资产      14,739,231,462.02 15,512,935,348.26 18,857,112,774.61 25,637,298,549.80 34,385,189,070.36 43,573,812,403.87 46,337,877,033.36
净利润         967,940,639.48  1,446,409,591.28  3,368,591,105.89  7,561,081,585.81  9,952,714,168.09 10,285,284,120.57  5,810,596,533.93
每股盈利          0.200215976       0.310196208       0.722426203       1.621545414       2.134453628       2.141585856       1.209873369
每股净资产        3.048771264       3.326895615       4.044086074       5.498161001       7.374228809       9.072871418       9.648400654
PE                18.87961232       21.43804411       15.84936974        10.1323095       7.950512384       6.929444347       10.33165976
PB                1.239843751        1.99886043       2.831294832       2.988271896       2.301257588       1.635645356       1.295551506
ROE               6.567103868       9.323893633       17.86376921       29.49250511       28.94477081        23.6042787       12.53962612
